municipio,lat,alt,lon
Montseny,41.7593697,527.3063354492188,2.3952061
Moià,41.8130391,726.0198974609375,2.0978412
Mura,41.6998219,475.820556640625,1.9764684
Navarcles,41.7531567,253.37042236328125,1.9033612
Navàs,41.8989233,370.10052490234375,1.8767736
"Nou de Berguedà, La",42.0780298,638.4367065429688,1.8315336
Òdena,41.6068791,400.5414733886719,1.6422209
Olvan,42.0571091,560.6572265625,1.9064046
Olèrdola,41.3214217,179.618408203125,1.7234463
Olesa de Bonesvalls,41.3505032,272.156982421875,1.8492996
Olesa de Montserrat,41.543053,112.63611602783203,1.8931874
Olivella,41.3103129,204.75189208984375,1.8114946
Olost,41.9851518,574.2583618164062,2.0941372
Orís,42.065576,713.72998046875,2.2122605
Oristà,41.9327257,465.93817138671875,2.0599756
Orpí,41.5185604,487.7930603027344,1.5755145
Òrrius,41.5551821,260.8333740234375,2.3549387
Pacs del Penedès,41.3615067,210.08187866210938,1.6698611
Palafolls,41.6673913,21.52199935913086,2.7499262
Palau-solità i Plegamans,41.5873942,150.14999389648438,2.1806823
Pallejà,41.422188,47.6128044128418,1.9966632
"Papiol, El",41.4354962,37.571197509765625,2.0025582
Parets del Vallès,41.5729887,104.93370819091797,2.2329289
Perafita,42.0423757,757.1644287109375,2.107122
Piera,41.5216923,308.34283447265625,1.7526335
"Hostalets de Pierola, Els",41.5592355,447.7229919433594,1.7965474
Pineda de Mar,41.6276807,12.951403617858887,2.6898707
"Pla del Penedès, El",41.4177137,223.81597900390625,1.7128348
"Pobla de Claramunt, La",41.5545592,276.0165100097656,1.6779739
"Pobla de Lillet, La",42.2404906,831.827880859375,1.9655559
Polinyà,41.5576041,131.95849609375,2.1566544
Pontons,41.4155898,591.1226806640625,1.516296
"Prat de Llobregat, El",41.3307921,10.109638214111328,2.0930187
"Prats de Rei, Els",41.7087424,631.5819091796875,1.5392472
Prats de Lluçanès,42.0085421,712.8092041015625,2.0298689
Premià de Mar,41.4926822,17.191818237304688,2.3605846
Puig-reig,41.9735499,440.8119812011719,1.8775308
Pujalt,41.7169947,752.0435791015625,1.4211325
"Quar, La",42.105776,1034.5294189453125,1.9736481
Rajadell,41.7291916,343.2919921875,1.7056275
Rellinars,41.6367945,348.192626953125,1.910447
Ripollet,41.4993372,84.80870056152344,2.1573095
"Roca del Vallès, La",41.5914023,150.90084838867188,2.328068
"Pont de Vilomara i Rocafort, El",41.7008286,185.2535400390625,1.8691118
Roda de Ter,41.9814126,452.12310791015625,2.3096755
Rubí,41.4936194,137.93885803222656,2.0319476
Rubió,41.6442397,623.2786865234375,1.5701167
Sabadell,41.5421013,182.12466430664062,2.1138977
Sagàs,42.0510214,731.5540771484375,1.9626051
Sant Pere Sallavinera,41.7365708,580.8897094726562,1.5745225
Saldes,42.2287591,1226.34765625,1.7349486
Sallent,41.8259065,289.13226318359375,1.8948758
Santpedor,41.7847594,329.38214111328125,1.8386882
Sant Iscle de Vallalta,41.62433,127.12403106689453,2.56914
Sant Adrià de Besòs,41.4304832,18.403013229370117,2.2182775
Sant Agustí de Lluçanès,42.0855048,829.4344482421875,2.1272825
Sant Andreu de la Barca,41.4499648,50.348533630371094,1.9719416
Sant Andreu de Llavaneres,41.5739524,117.0113296508789,2.4828158
Sant Antoni de Vilamajor,41.6735604,260.1134033203125,2.4012202
Sant Bartomeu del Grau,41.9807659,878.4454345703125,2.1750391
Sant Boi de Llobregat,41.3459033,24.432090759277344,2.0413673
Sant Boi de Lluçanès,42.0578411,805.5508422851562,2.1511135
Sant Celoni,41.6895041,159.15281677246094,2.4914526
Sant Cebrià de Vallalta,41.620353,83.0702133178711,2.6017906
Sant Climent de Llobregat,41.3366993,79.62443542480469,1.9970575
Sant Cugat del Vallès,41.4728432,140.0257110595703,2.0817809
Sant Cugat Sesgarrigues,41.3644619,269.0484313964844,1.7530702
Sant Esteve de Palautordera,41.7040768,239.53289794921875,2.4343426
Sant Esteve Sesrovires,41.4932429,172.5874481201172,1.8747348
Sant Fost de Campsentelles,41.518752,103.1451416015625,2.2328323
Sant Feliu de Codines,41.6885036,486.9314270019531,2.1646769
Sant Feliu de Llobregat,41.3812851,31.863903045654297,2.0446381
Sant Feliu Sasserra,41.9447451,615.2278442382812,2.0213124
Sant Fruitós de Bages,41.7532735,265.1541442871094,1.8749418
Vilassar de Dalt,41.5163595,128.5175323486328,2.3592879
Sant Hipòlit de Voltregà,42.0152733,527.922119140625,2.2376471
Sant Jaume de Frontanyà,42.1874392,1083.18701171875,2.0238488
